V1,V2,V3,V4,V5,V6,V7,V8,V9
0,27.64,4,15,8,4607.2,11.42,1473,404.67
0,23.58,1,8,10,2215,5.92,569.56,57.81
0,25.2,2,8,10,1860.6,10.43,716.86,124.23
1,34.15,1,16,2,4252.8,10.76,1178.4,360.39
0,39.84,1,13,2,4518.6,17.8,530.28,874.53
0,31.71,2,24,10,6467.8,17.03,3662.86,825.33
0,36.59,4,2,20,1949.2,5.92,29.46,109.47
0,33.33,2,9,23,2835.2,4.49,68.74,105.78
0,23.58,1,11,1,4075.6,3.06,235.68,60.27
0,28.46,4,9,6,3366.8,17.91,1355.16,536.28
0,21.95,1,7,7,2215,8.78,697.22,121.77
0,22.76,2,6,8,1683.4,5.81,284.78,60.27
0,39.02,2,19,23,5847.6,4.82,1443.54,78.72
0,19.51,2,4,6,1594.8,7.9,520.46,67.65
0,25.2,2,8,13,2923.8,5.92,147.3,152.52
0,34.96,2,12,10,6113.4,8.34,402.62,493.23
0,34.15,2,5,11,2126.4,12.96,657.94,231.24
0,41.46,1,33,15,22061.4,9.88,4193.14,1863.45
1,17.89,2,6,4,1683.4,26.71,1855.98,307.5
1,30.08,2,8,11,2746.6,14.17,1669.4,237.39
1,17.89,4,3,4,2215,16.48,1944.36,180.81
1,39.84,1,4,14,1772,19.89,373.16,369
0,23.58,2,11,9,2658,10.32,147.3,284.13
0,34.15,2,4,17,2658,11.97,1443.54,177.12
0,27.64,2,17,1,5936.2,15.82,3672.68,627.3
0,27.64,1,11,8,2392.2,3.17,294.6,19.68
1,26.02,1,7,6,3809.8,17.8,1777.42,570.72
0,34.15,1,20,24,5847.6,11.86,1610.48,576.87
1,19.51,2,5,1,1240.4,19.01,824.88,174.66
0,27.64,2,18,10,4252.8,9.66,1443.54,266.91
0,21.14,2,12,3,2835.2,6.47,127.66,169.74
0,24.39,1,14,10,6024.8,23.41,2808.52,1329.63
1,26.02,2,6,4,1417.6,32.65,873.98,451.41
0,30.89,4,15,19,2215,7.57,333.88,132.84
0,34.96,1,12,25,3278.2,10.65,667.76,303.81
0,25.2,1,11,9,4695.8,16.15,1168.58,733.08
0,30.08,3,12,19,10897.8,20.33,2965.64,2245.98
1,30.08,1,6,12,1772,25.17,166.94,512.91
1,33.33,4,14,12,7619.6,30.45,4900.18,2189.4
1,26.02,2,2,5,1772,4.6,255.32,41.82
1,17.89,1,2,2,3101,11.2,765.96,291.51
0,26.02,1,14,4,5581.8,21.32,5450.1,728.16
0,38.21,1,19,24,3632.6,11.75,451.72,423.12
0,32.52,2,23,22,4075.6,8.12,952.54,232.47
0,25.2,2,10,2,1949.2,8.67,363.34,135.3
0,27.64,4,9,1,2392.2,3.72,127.66,57.81
0,42.28,3,15,18,20732.4,9.77,7256.98,1307.49
1,22.76,2,4,3,1506.2,4.05,196.4,28.29
0,30.89,4,17,19,5581.8,16.04,4998.38,412.05
0,26.83,1,12,5,2303.6,4.71,29.46,95.94
0,31.71,1,11,13,2835.2,8.56,1404.26,83.64
0,38.21,4,25,12,10189,5.7,638.3,485.85
0,29.27,1,13,9,4341.4,2.73,265.14,44.28
1,23.58,4,9,3,7442.4,16.26,6785.62,554.73
1,39.02,3,16,11,5227.4,19.45,4851.08,590.4
0,30.89,4,14,19,5670.4,7.68,873.98,346.86
0,37.4,1,11,27,1329,6.03,9.82,77.49
1,21.95,4,7,5,3721.2,23.19,2661.22,694.95
0,43.9,2,20,35,10100.4,10.65,3230.78,787.2
1,21.95,3,2,1,2215,15.27,1394.44,216.48
0,18.7,2,3,1,1506.2,3.06,9.82,31.98
0,33.33,2,25,3,8062.6,16.37,559.74,1462.47
1,19.51,2,5,6,1329,13.73,68.74,199.26
1,22.76,2,11,1,1949.2,31.77,5184.96,99.63
0,21.14,2,2,1,1240.4,12.85,255.32,148.83
1,19.51,2,10,1,1506.2,7.46,559.74,46.74
0,39.84,1,24,5,6999.4,9.33,284.78,674.04
0,22.76,1,5,2,3189.6,10.76,373.16,333.33
0,30.89,2,8,18,1594.8,15.6,127.66,271.83
0,26.83,1,4,10,3278.2,6.25,815.06,102.09
0,21.14,2,10,5,2215,6.47,206.22,118.08
0,29.27,2,11,2,3544,12.08,1944.36,238.62
1,30.08,4,18,15,4430,41.56,7188.24,1350.54
1,20.33,3,2,2,1594.8,38.04,2749.6,394.83
0,23.58,2,11,3,2923.8,6.58,677.58,109.47
0,21.95,1,10,5,3366.8,8.89,353.52,277.98
0,36.59,2,19,1,5493.2,17.8,2396.08,843.78
0,30.08,2,11,9,5050.2,7.35,1335.52,218.94
1,23.58,1,5,7,2303.6,8.01,530.28,129.15
1,41.46,2,12,2,3898.4,15.82,4870.72,104.55
1,17.89,4,2,1,2037.8,10.54,363.34,191.88
0,24.39,3,9,11,2658,18.57,255.32,547.35
0,25.2,2,9,3,1772,14.83,108.02,289.05
1,22.76,2,4,1,1594.8,17.58,1905.08,88.56
0,28.46,2,12,17,3455.4,7.57,216.04,247.23
1,20.33,3,3,2,3012.4,10.65,127.66,339.48
1,26.02,1,7,1,2480.8,17.58,2543.38,190.65
0,26.83,2,4,11,2126.4,11.86,1021.28,154.98
1,22.76,1,5,5,3632.6,28.91,5793.8,539.97
0,37.4,4,6,18,6467.8,7.24,2180.04,211.56
0,33.33,2,26,13,7353.8,16.7,6471.38,618.69
0,34.15,1,13,6,6467.8,8.78,2818.34,257.07
0,33.33,3,11,14,4164.2,6.8,432.08,234.93
1,21.14,2,5,6,2569.4,29.57,2484.46,606.39
0,38.21,2,29,9,10011.8,11.42,2337.16,986.46
1,23.58,2,3,4,1594.8,29.46,1944.36,323.49
0,27.64,2,5,15,3189.6,6.47,608.84,131.61
0,29.27,2,9,3,3809.8,8.12,1021.28,200.49
0,30.89,1,9,5,5670.4,4.6,638.3,156.21
1,33.33,1,6,15,2303.6,22.42,1443.54,432.96
0,37.4,2,11,24,2746.6,16.48,1590.84,327.18
1,32.52,4,5,16,4873,19.45,1718.5,900.36
0,35.77,1,19,1,11429.4,4.05,540.1,328.41
0,28.46,4,12,16,3455.4,12.74,1571.2,301.35
0,29.27,2,22,16,5316,7.24,1040.92,268.14
1,22.76,1,2,4,2658,6.58,117.84,162.36
1,23.58,1,8,8,1594.8,6.91,441.9,57.81
1,18.7,1,5,4,1949.2,13.84,1247.14,151.29
0,33.33,1,9,18,5581.8,18.24,4556.48,622.38
0,20.33,2,3,2,1683.4,8.89,186.58,137.76
0,36.59,1,4,20,2569.4,7.24,432.08,137.76
0,39.02,1,32,15,13112.8,9.22,3898.54,821.64
0,30.89,2,20,8,3987,9,530.28,321.03
0,23.58,2,8,5,4075.6,7.24,1148.94,161.13
0,34.15,3,17,9,16479.6,5.26,2356.8,527.67
0,25.2,2,13,13,4164.2,13.29,2808.52,277.98
0,32.52,2,5,14,2037.8,8.89,402.62,145.14
0,21.14,2,4,7,1860.6,23.08,1001.64,386.22
0,20.33,2,8,7,1949.2,23.52,2219.32,268.14
0,43.09,3,9,12,5404.6,9.99,1836.34,361.62
0,40.65,4,20,28,9037.2,16.81,5675.96,1057.8
1,38.21,2,33,10,12049.6,26.71,13973.86,2113.14
1,18.7,2,3,1,1860.6,10.54,1188.22,67.65
0,30.08,4,14,9,7353.8,5.81,314.24,378.84
0,33.33,2,26,16,8860,13.95,4968.92,792.12
1,22.76,1,2,8,2569.4,15.93,2111.3,210.33
1,25.2,2,9,12,3632.6,35.07,2946,1179.57
0,33.33,1,8,2,1683.4,8.23,117.84,131.61
0,29.27,2,9,18,3544,12.19,1659.58,279.21
0,33.33,2,3,17,1683.4,6.14,235.68,72.57
0,43.09,1,18,32,3898.4,7.46,1306.06,138.99
0,25.2,1,8,6,2215,13.95,2288.06,66.42
0,22.76,1,7,7,2215,4.49,333.88,47.97
0,39.02,2,30,26,6202,14.5,4252.06,500.61
1,18.7,1,2,2,3721.2,5.59,1001.64,76.26
0,25.2,2,13,7,3012.4,8.78,294.6,247.23
0,21.95,2,8,7,3809.8,6.69,864.16,150.06
0,34.96,2,13,18,3278.2,2.73,176.76,36.9
0,23.58,1,7,8,2480.8,21.87,2091.66,382.53
1,43.09,2,8,8,2392.2,8.34,579.38,138.99
0,30.89,2,6,10,1683.4,16.26,1227.5,164.82
0,24.39,2,14,11,3366.8,10.65,166.94,376.38
1,22.76,4,4,1,1772,11.64,225.86,202.95
0,29.27,2,13,3,2923.8,37.05,1247.14,1163.58
0,39.02,2,17,6,5316,3.61,314.24,115.62
0,25.2,2,14,10,2126.4,8.56,432.08,140.22
0,28.46,2,18,11,5050.2,12.85,1119.48,595.32
0,40.65,2,6,5,2037.8,15.05,137.48,335.79
0,34.15,1,14,10,4873,17.8,2484.46,703.56
0,32.52,2,4,4,2480.8,9.11,176.76,221.4
1,30.08,1,2,14,2746.6,2.29,117.84,19.68
0,25.2,4,8,9,4784.4,4.38,392.8,136.53
0,30.89,2,13,14,3101,10.1,1247.14,188.19
0,28.46,2,17,2,6822.2,12.96,5401,327.18
0,35.77,2,26,11,8948.6,7.46,2936.18,327.18
0,35.77,1,23,15,10011.8,15.82,3132.58,1441.56
0,26.83,2,2,13,2037.8,2.29,78.56,15.99
0,28.46,2,9,15,2569.4,6.69,255.32,142.68
0,29.27,4,12,5,3809.8,15.6,942.72,569.49
0,18.7,1,5,5,2126.4,8.23,540.1,118.08
0,21.95,2,2,8,1594.8,15.38,569.56,211.56
0,27.64,2,8,2,1772,2.62,39.28,24.6
1,28.46,2,2,6,3012.4,13.51,1345.34,295.2
0,19.51,1,6,5,1772,5.37,314.24,51.66
0,39.02,2,32,9,8948.6,8.34,1836.34,564.57
0,21.14,1,10,2,3544,14.28,432.08,526.44
0,31.71,1,11,17,4961.6,21.87,4674.32,702.33
0,19.51,1,3,3,3721.2,7.57,824.88,191.88
0,21.95,2,2,6,1417.6,2.51,127.66,6.15
0,32.52,4,20,15,13910.2,8.56,3270.06,865.92
0,26.02,1,10,3,3987,5.37,962.36,83.64
0,31.71,1,18,13,4695.8,5.37,677.58,156.21
0,32.52,2,24,2,8860,17.36,5302.8,1131.6
0,26.02,2,12,12,3721.2,11.31,1512.28,280.44
0,31.71,2,25,2,6645,22.09,3073.66,1357.92
1,19.51,2,5,4,1860.6,33.09,2631.76,416.97
1,34.96,3,20,15,39515.6,8.45,15741.46,1594.08
0,45.53,2,13,21,5227.4,17.8,4585.94,514.14
0,26.02,4,7,10,2037.8,6.25,324.06,87.33
0,34.15,2,9,13,2215,12.52,1600.66,113.16
1,37.4,4,5,14,3809.8,15.82,2985.28,323.49
1,25.2,2,4,3,1949.2,19.34,1708.68,230.01
0,34.96,2,27,17,21441.2,4.16,1610.48,573.18
0,22.76,1,8,10,1949.2,13.95,638.3,231.24
0,31.71,4,13,18,3455.4,15.49,2513.92,303.81
0,31.71,2,2,9,3455.4,9.99,1050.74,247.23
1,30.08,3,3,15,2923.8,19.01,2641.58,322.26
0,24.39,2,2,12,1506.2,14.5,294.6,214.02
0,30.08,5,11,17,15682.2,7.79,873.98,1175.88
0,17.89,2,6,4,1240.4,20.55,225.86,273.06
0,40.65,2,3,27,2303.6,17.03,1816.7,230.01
0,24.39,2,12,3,1683.4,6.14,333.88,61.5
0,31.71,2,10,1,1860.6,5.7,274.96,68.88
1,17.07,1,2,3,1860.6,15.05,481.18,263.22
0,25.2,4,11,3,2480.8,4.16,117.84,75.03
0,25.2,1,11,2,2658,7.68,589.2,140.22
1,32.52,2,8,10,3189.6,3.61,382.98,45.51
0,27.64,2,11,9,4252.8,11.53,412.44,496.92
0,28.46,2,19,5,3721.2,4.6,88.38,143.91
1,24.39,2,9,3,2923.8,29.24,1148.94,888.06
1,16.26,2,6,1,1240.4,11.97,196.4,142.68
0,29.27,3,3,18,2658,13.95,314.24,384.99
0,17.07,2,3,2,1417.6,8.23,137.48,107.01
0,27.64,2,20,11,4695.8,12.85,824.88,580.56
1,28.46,2,9,6,3455.4,19.01,1669.4,563.34
0,28.46,4,3,5,1772,9.99,834.7,89.79
1,27.64,2,12,2,2923.8,12.63,2455,110.7
0,26.83,2,14,13,6024.8,13.18,1345.34,735.54
0,24.39,2,6,3,1594.8,13.07,225.86,209.1
0,19.51,1,2,6,1417.6,9.33,19.64,140.22
0,38.21,2,33,9,22415.8,9.22,9142.42,1095.93
1,43.09,2,2,27,2392.2,33.09,2700.5,621.15
0,17.89,4,2,3,1772,6.47,216.04,88.56
0,39.02,1,8,2,5847.6,14.61,2278.24,697.41
1,29.27,1,8,16,2392.2,6.36,255.32,120.54
0,23.58,1,8,5,1860.6,13.95,363.34,252.15
0,26.83,2,17,4,2835.2,9.66,481.18,238.62
0,36.59,2,21,23,6822.2,10.54,2258.6,512.91
0,30.08,2,14,15,3898.4,17.47,2936.18,426.81
