V1,V2,V3,V4,V5
1,25,265.8,192,1
1,28,195.2,107.8,1
1,29,195.3,160.9,1
1,28,296.8,190.5,1
1,30,196.4,198.4,1
1,29,137.3,136.9,1
1,27,188.6,144.7,1
1,26,174.6,164.5,1
1,30,113.4,85.8,1
1,28,111.6,85.8,1
